Title,Artist,Genre,Year,Popularity
Just the Way You Are,Bruno Mars,pop,2011,78
Rolling in the Deep,Adele,british soul,2011,76
Run the World (Girls),Beyonce,dance pop,2011,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,76
Love On Top,Beyonce,dance pop,2011,76
Grenade,Bruno Mars,pop,2011,75
Tonight Tonight,Hot Chelle Rae,dance pop,2011,75
What the Hell,Avril Lavigne,canadian pop,2011,74
Born This Way,Lady Gaga,dance pop,2011,73
Monster,Kanye West,chicago rap,2011,73
Marry You,Bruno Mars,pop,2011,73
Best Thing I Never Had,Beyonce,dance pop,2011,73
Party Rock Anthem,LMFAO,dance pop,2011,72
We R Who We R,Kesha,dance pop,2011,72
Price Tag,Jessie J,australian pop,2011,72
Good Life,OneRepublic,dance pop,2011,72
Just Can抰 Get Enough,The Black Eyed Peas,dance pop,2011,71
On The Floor,Jennifer Lopez,dance pop,2011,69
What's My Name?,Rihanna,barbadian pop,2011,69
Yeah 3x,Chris Brown,dance pop,2011,69
Without You (feat. Usher),David Guetta,dance pop,2011,68
Sexy And I Know It,LMFAO,dance pop,2011,67
The Edge Of Glory,Lady Gaga,dance pop,2011,67
E.T.,Katy Perry,dance pop,2011,66
Till the World Ends,Britney Spears,dance pop,2011,65
I Wanna Go,Britney Spears,dance pop,2011,64
Blow,Kesha,dance pop,2011,64
You And I,Lady Gaga,dance pop,2011,64
Judas,Lady Gaga,dance pop,2011,63
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,63
Please Don't Go,Mike Posner,dance pop,2011,63
We Found Love,Rihanna,barbadian pop,2011,61
Marry The Night,Lady Gaga,dance pop,2011,61
1+1,Beyonce,dance pop,2011,60
Hold It Against Me,Britney Spears,dance pop,2011,59
I'm Into You,Jennifer Lopez,dance pop,2011,59
Papi,Jennifer Lopez,dance pop,2011,58
Cheers (Drink To That),Rihanna,barbadian pop,2011,58
S&M Remix,Rihanna,barbadian pop,2011,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,52
Jar of Hearts,Christina Perri,dance pop,2011,50
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,49
Turning Page,Sleeping At Last,acoustic pop,2011,46
Super Bass,Nicki Minaj,dance pop,2011,38
Raise Your Glass,P!nk,dance pop,2011,38
Invading My Mind,Jennifer Lopez,dance pop,2011,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,28
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,27
Firework,Katy Perry,dance pop,2011,25
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,7
Titanium (feat. Sia),David Guetta,dance pop,2012,80
Locked Out of Heaven,Bruno Mars,pop,2012,79
Paradise,Coldplay,permanent wave,2012,79
Payphone,Maroon 5,pop,2012,79
What Makes You Beautiful,One Direction,boy band,2012,78
I Knew You Were Trouble.,Taylor Swift,pop,2012,77
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,76
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,76
Set Fire to the Rain,Adele,british soul,2012,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,75
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,74
Try,P!nk,dance pop,2012,74
Starships,Nicki Minaj,dance pop,2012,73
One More Night,Maroon 5,pop,2012,73
Good Time,Owl City,pop,2012,73
Glad You Came,The Wanted,boy band,2012,72
Beauty And A Beat,Justin Bieber,canadian pop,2012,72
International Love,Pitbull,dance pop,2012,72
Some Nights,fun.,baroque pop,2012,72
Boyfriend,Justin Bieber,canadian pop,2012,71
Part Of Me,Katy Perry,dance pop,2012,71
Domino,Jessie J,australian pop,2012,69
Where Have You Been,Rihanna,barbadian pop,2012,68
Wide Awake,Katy Perry,dance pop,2012,68
The One That Got Away,Katy Perry,dance pop,2012,67
Dance Again,Jennifer Lopez,dance pop,2012,66
Turn Up the Music,Chris Brown,dance pop,2012,65
Lights - Single Version,Ellie Goulding,dance pop,2012,65
We Are Young (feat. Janelle Mon醗),fun.,baroque pop,2012,63
Diamonds,Rihanna,barbadian pop,2012,61
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,59
You Da One,Rihanna,barbadian pop,2012,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,54
It Will Rain,Bruno Mars,pop,2012,38
Blow Me (One Last Kiss),P!nk,dance pop,2012,0
Underneath the Tree,Kelly Clarkson,dance pop,2013,88
Wake Me Up,Avicii,big room,2013,85
Story of My Life,One Direction,boy band,2013,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,81
Hall of Fame,The Script,celtic rock,2013,80
Roar,Katy Perry,dance pop,2013,78
We Can't Stop,Miley Cyrus,dance pop,2013,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,77
Wrecking Ball,Miley Cyrus,dance pop,2013,77
Impossible,James Arthur,pop,2013,77
Blurred Lines,Robin Thicke,dance pop,2013,76
Heart Attack,Demi Lovato,dance pop,2013,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,75
Die Young,Kesha,dance pop,2013,75
Clarity,Zedd,complextro,2013,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,74
Under Control,Calvin Harris,dance pop,2013,74
Everybody Talks,Neon Trees,indie pop,2013,74
"Hold On, We're Going Home",Drake,canadian hip hop,2013,73
Best Song Ever,One Direction,boy band,2013,73
Kiss You,One Direction,boy band,2013,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,72
Lose Yourself to Dance,Daft Punk,electro,2013,72
Work Bitch,Britney Spears,dance pop,2013,71
Brave,Sara Bareilles,acoustic pop,2013,71
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,70
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,70
Beneath Your Beautiful,Labrinth,pop,2013,70
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,70
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,69
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,69
The Way,Ariana Grande,dance pop,2013,68
Suit & Tie,Justin Timberlake,dance pop,2013,68
#thatPOWER,will.i.am,dance pop,2013,68
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,67
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,67
Daylight,Maroon 5,pop,2013,66
Love Somebody,Maroon 5,pop,2013,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,65
Move,Little Mix,dance pop,2013,63
Walks Like Rihanna,The Wanted,boy band,2013,62
Rock N Roll,Avril Lavigne,canadian pop,2013,61
Heartbreaker,Justin Bieber,canadian pop,2013,61
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,60
Next To Me,Emeli Sande,dance pop,2013,60
Made In The USA,Demi Lovato,dance pop,2013,60
Clown,Emeli Sande,dance pop,2013,60
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,59
TKO,Justin Timberlake,dance pop,2013,58
Come & Get It,Selena Gomez,dance pop,2013,57
Live It Up,Jennifer Lopez,dance pop,2013,57
We Own The Night,The Wanted,boy band,2013,56
Atlas - From 揟he Hunger Games: Catching Fire?Soundtrack,Coldplay,permanent wave,2013,55
What About Love,Austin Mahone,dance pop,2013,54
Take Back the Night,Justin Timberlake,dance pop,2013,54
Applause,Lady Gaga,dance pop,2013,52
Anything Could Happen,Ellie Goulding,dance pop,2013,52
Finally Found You,Enrique Iglesias,dance pop,2013,52
Pom Poms,Jonas Brothers,boy band,2013,52
#Beautiful,Mariah Carey,dance pop,2013,51
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,50
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,46
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,45
People Like Us,Kelly Clarkson,dance pop,2013,45
Overdose,Ciara,dance pop,2013,43
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,42
Give It 2 U,Robin Thicke,dance pop,2013,41
Foolish Games,Jewel,alaska indie,2013,36
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,35
Freak,Kelly Rowland,atl hip hop,2013,28
All of Me,John Legend,neo mellow,2014,86
Stay With Me,Sam Smith,pop,2014,85
Summer,Calvin Harris,dance pop,2014,80
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,79
Rude,MAGIC!,pop,2014,79
Shake It Off,Taylor Swift,pop,2014,78
Dark Horse,Katy Perry,dance pop,2014,78
Hey Brother,Avicii,big room,2014,78
Maps,Maroon 5,pop,2014,78
Treasure,Bruno Mars,pop,2014,77
Let Her Go,Passenger,folk-pop,2014,77
Problem,Ariana Grande,dance pop,2014,75
Pompeii,Bastille,metropopolis,2014,73
Team,Lorde,art pop,2014,73
Love Me Again,John Newman,pop,2014,73
Latch,Disclosure,house,2014,72
Adore You,Miley Cyrus,dance pop,2014,72
Love Never Felt So Good,Michael Jackson,pop,2014,71
Burn,Ellie Goulding,dance pop,2014,71
She Looks So Perfect,5 Seconds of Summer,boy band,2014,71
Fancy,Iggy Azalea,australian hip hop,2014,70
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,68
Gorilla,Bruno Mars,pop,2014,68
human,Christina Perri,dance pop,2014,68
Young Girls,Bruno Mars,pop,2014,67
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,67
Love Runs Out,OneRepublic,dance pop,2014,66
This Is How We Do,Katy Perry,dance pop,2014,66
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,65
#SELFIE,The Chainsmokers,electropop,2014,65
Partition,Beyonce,dance pop,2014,65
Birthday,Katy Perry,dance pop,2014,65
G.U.Y.,Lady Gaga,dance pop,2014,65
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,64
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,63
Wings,Birdy,neo mellow,2014,62
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,62
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,61
Say Something,A Great Big World,neo mellow,2014,61
A Sky Full of Stars,Coldplay,permanent wave,2014,60
Come Get It Bae,Pharrell Williams,dance pop,2014,59
Chandelier,Sia,australian dance,2014,56
XO,Beyonce,dance pop,2014,56
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,56
Not About Angels,Birdy,neo mellow,2014,56
Drunk in Love,Beyonce,dance pop,2014,52
Anaconda,Nicki Minaj,dance pop,2014,50
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr鋞er,Charli XCX,candy pop,2014,50
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,50
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,49
Words as Weapons,Birdy,neo mellow,2014,44
You're Mine (Eternal),Mariah Carey,dance pop,2014,38
Sheezus,Lily Allen,dance pop,2014,37
Cannonball,Lea Michele,hollywood,2014,37
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,30
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,28
Not a Bad Thing,Justin Timberlake,dance pop,2014,0
Thinking out Loud,Ed Sheeran,pop,2015,84
I'm Not The Only One,Sam Smith,pop,2015,84
The Hills,The Weeknd,canadian contemporary r&b,2015,84
Love Yourself,Justin Bieber,canadian pop,2015,83
Uptown Funk,Mark Ronson,dance pop,2015,82
Take Me To Church,Hozier,irish singer-songwriter,2015,81
Sugar,Maroon 5,pop,2015,81
Sorry,Justin Bieber,canadian pop,2015,81
FourFiveSeconds,Rihanna,barbadian pop,2015,80
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,79
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,79
What Do You Mean?,Justin Bieber,canadian pop,2015,79
Stitches,Shawn Mendes,canadian pop,2015,78
Want to Want Me,Jason Derulo,dance pop,2015,77
My House,Flo Rida,dance pop,2015,77
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,77
Night Changes,One Direction,boy band,2015,77
How Deep Is Your Love,Calvin Harris,dance pop,2015,77
Never Forget You,Zara Larsson,dance pop,2015,77
Love Me Harder,Ariana Grande,dance pop,2015,76
Animals,Maroon 5,pop,2015,76
Blame,Calvin Harris,dance pop,2015,76
Worth It,Fifth Harmony,dance pop,2015,75
Break Free,Ariana Grande,dance pop,2015,75
Don't,Ed Sheeran,pop,2015,74
Elastic Heart,Sia,australian dance,2015,73
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,73
Hello,Adele,british soul,2015,73
Dear Future Husband,Meghan Trainor,dance pop,2015,72
43776,Beyonce,dance pop,2015,72
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,72
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,72
Genie In a Bottle,Christina Aguilera,dance pop,2015,72
Company,Justin Bieber,canadian pop,2015,72
Sing,Ed Sheeran,pop,2015,71
Jealous - Remix,Nick Jonas,dance pop,2015,70
Really Don't Care,Demi Lovato,dance pop,2015,70
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,70
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,69
Heartbeat Song,Kelly Clarkson,dance pop,2015,69
Up,Olly Murs,dance pop,2015,69
Trumpets,Jason Derulo,dance pop,2015,69
Runnin' (Lose It All),Naughty Boy,tropical house,2015,69
Same Old Love,Selena Gomez,dance pop,2015,69
I Want You To Know,Zedd,complextro,2015,68
Lips Are Movin,Meghan Trainor,dance pop,2015,68
I'll Show You,Justin Bieber,canadian pop,2015,68
Here,Alessia Cara,canadian contemporary r&b,2015,68
I Lived,OneRepublic,dance pop,2015,67
Fireball (feat. John Ryan),Pitbull,dance pop,2015,67
Easy Love,Sigala,dance pop,2015,67
The Feeling,Justin Bieber,canadian pop,2015,67
I Really Like You,Carly Rae Jepsen,canadian pop,2015,66
BO$$,Fifth Harmony,dance pop,2015,66
Sugar,Maroon 5,pop,2015,66
Focus,Ariana Grande,dance pop,2015,66
All About That Bass,Meghan Trainor,dance pop,2015,65
On My Mind,Ellie Goulding,dance pop,2015,65
Love Me Like You,Little Mix,dance pop,2015,65
Broken Arrows,Avicii,big room,2015,65
Booty,Jennifer Lopez,dance pop,2015,64
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,64
Mark My Words,Justin Bieber,canadian pop,2015,63
Lay It All on Me,Rudimental,dance pop,2015,62
American Oxygen,Rihanna,barbadian pop,2015,61
Bang Bang,Jessie J,australian pop,2015,61
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,61
Alive,Sia,australian dance,2015,61
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,60
Been You,Justin Bieber,canadian pop,2015,60
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,58
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,56
Heroes (we could be),Alesso,big room,2015,56
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,55
Perfect,One Direction,boy band,2015,55
Ghosttown,Madonna,dance pop,2015,54
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,54
Bloodstream,Ed Sheeran,pop,2015,52
Living For Love,Madonna,dance pop,2015,52
Baby Don't Lie,Gwen Stefani,dance pop,2015,52
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,52
Steal My Girl,One Direction,boy band,2015,51
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,50
We Are Here,Alicia Keys,hip pop,2015,49
St Jude,Florence + The Machine,art pop,2015,47
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,46
Time of Our Lives,Pitbull,dance pop,2015,45
Sparks,Hilary Duff,dance pop,2015,44
Mr. Put It Down,Ricky Martin,dance pop,2015,42
Legendary Lovers,Katy Perry,dance pop,2015,41
Spark The Fire,Gwen Stefani,dance pop,2015,39
Run Run Run,Kelly Clarkson,dance pop,2015,36
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,34
Dangerous,Jennifer Hudson,dance pop,2015,18
L.A.LOVE (la la),Fergie,dance pop,2015,0
The Hills,The Weeknd,canadian contemporary r&b,2016,84
Love Yourself,Justin Bieber,canadian pop,2016,83
Cake By The Ocean,DNCE,dance pop,2016,81
Don't Let Me Down,The Chainsmokers,electropop,2016,81
In the Name of Love,Martin Garrix,big room,2016,81
Into You,Ariana Grande,dance pop,2016,80
This Is What You Came For,Calvin Harris,dance pop,2016,80
Million Reasons,Lady Gaga,dance pop,2016,80
Needed Me,Rihanna,barbadian pop,2016,80
7 Years,Lukas Graham,danish pop,2016,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,79
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,79
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,79
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,79
Work,Rihanna,barbadian pop,2016,78
Stitches,Shawn Mendes,canadian pop,2016,78
"Me, Myself & I",G-Eazy,hip hop,2016,78
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,78
Dangerous Woman,Ariana Grande,dance pop,2016,78
Starving,Hailee Steinfeld,dance pop,2016,78
Shout Out to My Ex,Little Mix,dance pop,2016,77
Electric Love,B0NS,electropop,2016,76
Confident,Demi Lovato,dance pop,2016,75
Too Good,Drake,canadian hip hop,2016,74
Roses,The Chainsmokers,electropop,2016,74
Cold Water (feat. Justin Bieber & M?,Major Lazer,dance pop,2016,73
Me Too,Meghan Trainor,dance pop,2016,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,73
Ain't Your Mama,Jennifer Lopez,dance pop,2016,72
Close,Nick Jonas,dance pop,2016,72
Toothbrush,DNCE,dance pop,2016,72
All We Know,The Chainsmokers,electropop,2016,72
Final Song,M0,dance pop,2016,72
Company,Justin Bieber,canadian pop,2016,72
Hands To Myself,Selena Gomez,dance pop,2016,71
All I Ask,Adele,british soul,2016,71
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,71
NO,Meghan Trainor,dance pop,2016,70
Kill Em With Kindness,Selena Gomez,dance pop,2016,70
Cool Girl,Tove Lo,dance pop,2016,69
Runnin' (Lose It All),Naughty Boy,tropical house,2016,69
Here,Alessia Cara,canadian contemporary r&b,2016,68
Perfect Illusion,Lady Gaga,dance pop,2016,67
PILLOWTALK,ZAYN,dance pop,2016,66
Out Of The Woods,Taylor Swift,pop,2016,66
Rise,Katy Perry,dance pop,2016,66
Wherever I Go,OneRepublic,dance pop,2016,66
Body Say,Demi Lovato,dance pop,2016,65
Don't Be A Fool,Shawn Mendes,canadian pop,2016,65
LIKE I WOULD,ZAYN,dance pop,2016,65
Cheap Thrills,Sia,australian dance,2016,64
I Got You,Bebe Rexha,dance pop,2016,64
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,63
Cruel (feat. ZAYN),Snakehips,dance pop,2016,63
Send My Love (To Your New Lover),Adele,british soul,2016,61
WTF (Where They From),Missy Elliott,dance pop,2016,58
Desire,Years & Years,dance pop,2016,58
When We Were Young,Adele,british soul,2016,58
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,57
Wish That You Were Here - From 揗iss Peregrine抯 Home for Peculiar Children?Original Motion Picture,Florence + The Machine,art pop,2016,57
Hurts,Emeli Sande,dance pop,2016,57
Change,Christina Aguilera,dance pop,2016,54
Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,53
Keeping Your Head Up,Birdy,neo mellow,2016,52
True Colors,Zedd,complextro,2016,51
Make Me Like You,Gwen Stefani,dance pop,2016,50
Champagne Problems,Nick Jonas,dance pop,2016,50
Blown,DNCE,dance pop,2016,48
Start,John Legend,neo mellow,2016,47
Pep Rally,Missy Elliott,dance pop,2016,47
Higher,Carly Rae Jepsen,canadian pop,2016,46
Invitation,Britney Spears,dance pop,2016,44
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,41
Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,36
Little Lies,Hilary Duff,dance pop,2016,36
Do You Wanna Come Over?,Britney Spears,dance pop,2016,34
BURNITUP!,Janet Jackson,dance pop,2016,31
Picky - Remix,Joey Montana,latin,2016,29
Behind Your Back,Nelly Furtado,canadian latin,2016,18
Million Years Ago,Adele,british soul,2016,0
Shape of You,Ed Sheeran,pop,2017,87
Closer,The Chainsmokers,electropop,2017,86
Starboy,The Weeknd,canadian contemporary r&b,2017,85
Treat You Better,Shawn Mendes,canadian pop,2017,84
That's What I Like,Bruno Mars,pop,2017,83
Let Me Love You,DJ Snake,electronic trap,2017,82
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,81
Mercy,Shawn Mendes,canadian pop,2017,81
Side To Side,Ariana Grande,dance pop,2017,80
Stay,Zedd,complextro,2017,80
It Ain't Me (with Selena Gomez),Kygo,edm,2017,79
Malibu,Miley Cyrus,dance pop,2017,78
Something Just Like This,The Chainsmokers,electropop,2017,78
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,78
I Don抰 Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,78
My Way,Calvin Harris,dance pop,2017,78
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,77
Praying,Kesha,dance pop,2017,77
Despacito - Remix,Luis Fonsi,latin,2017,76
The Greatest,Sia,australian dance,2017,76
There for You,Martin Garrix,big room,2017,76
Paris,The Chainsmokers,electropop,2017,76
Crying in the Club,Camila Cabello,dance pop,2017,75
Mama,Jonas Blue,dance pop,2017,75
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,75
Swish Swish,Katy Perry,dance pop,2017,73
Chained To The Rhythm,Katy Perry,dance pop,2017,72
Cold (feat. Future),Maroon 5,pop,2017,72
Love,Lana Del Rey,art pop,2017,72
Reggaet髇 Lento (Remix),CNCO,boy band,2017,71
All I Ask,Adele,british soul,2017,71
First Time,Kygo,edm,2017,71
The Cure,Lady Gaga,dance pop,2017,71
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,71
Bodak Yellow,Cardi B,pop,2017,70
Rich Love (with Seeb),OneRepublic,dance pop,2017,70
Tired,Alan Walker,electro house,2017,70
Came Here for Love,Sigala,dance pop,2017,70
24K Magic,Bruno Mars,pop,2017,69
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,69
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,69
OK - Spotify Version,Robin Schulz,dance pop,2017,69
Bon app閠it,Katy Perry,dance pop,2017,68
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,67
Get Low (with Liam Payne),Zedd,complextro,2017,66
Kissing Strangers,DNCE,dance pop,2017,66
Slow Hands,Niall Horan,dance pop,2017,64
Younger Now,Miley Cyrus,dance pop,2017,62
Body Moves,DNCE,dance pop,2017,62
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,59
Angel,Fifth Harmony,dance pop,2017,59
Touch (feat. Kid Ink),Little Mix,dance pop,2017,59
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,59
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,59
No Vacancy (with Sebasti醤 Yatra),OneRepublic,dance pop,2017,57
Rich Boy,Galantis,big room,2017,55
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,54
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,54
Influence,Tove Lo,dance pop,2017,54
Remember I Told You,Nick Jonas,dance pop,2017,53
Messin' Around,Pitbull,dance pop,2017,51
Water Under the Bridge,Adele,british soul,2017,49
Free Me,Sia,australian dance,2017,44
Kissing Strangers - Remix,DNCE,dance pop,2017,43
A L I E N S,Coldplay,permanent wave,2017,41
